id,app_id,platforms,categories,genres,CompositeRating,header_image
1381,386360,"windows,mac","Multi-player,Steam Achievements,Full controller support,Steam Trading Cards","Action,Adventure,Casual,Massively Multiplayer,RPG,Strategy,Free to Play",0.427686,https://cdn.akamai.steamstatic.com/steam/apps/386360/header.jpg?t=1715687726
803,251150,"windows,mac","Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Family Sharing",RPG,0.427607,https://cdn.akamai.steamstatic.com/steam/apps/251150/header.jpg?t=1624575033
443,98200,"windows,mac","Single-player,Multi-player,Steam Achievements,Steam Trading Cards,Steam Turn Notifications,Family Sharing","Indie,Strategy",0.427532,https://cdn.akamai.steamstatic.com/steam/apps/98200/header.jpg?t=1458256347
114,6980,"windows,mac","Single-player,Full controller support,Family Sharing",Action,0.426404,https://cdn.akamai.steamstatic.com/steam/apps/6980/header.jpg?t=1700763742
1169,319050,"windows,mac","Single-player,Multi-player,Co-op,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Family Sharing","Indie,RPG,Strategy",0.4263,https://cdn.akamai.steamstatic.com/steam/apps/319050/header.jpg?t=1667234305
950,274190,"windows,mac","Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Co-op,Online Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Full controller support,Includes level editor,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Toget","Action,Adventure,Casual,Indie",0.426096,https://cdn.akamai.steamstatic.com/steam/apps/274190/header.jpg?t=1710247458
315,41060,"windows,mac","Single-player,Multi-player,Co-op,Shared/Split Screen,Includes level editor,Remote Play Together,Family Sharing","Action,Indie",0.426052,https://cdn.akamai.steamstatic.com/steam/apps/41060/header.jpg?t=1601675107
1438,410710,"windows,mac","Single-player,Steam Trading Cards,Family Sharing","Action,Adventure,RPG",0.425845,https://cdn.akamai.steamstatic.com/steam/apps/410710/header.jpg?t=1591116076
1328,366970,"windows,mac","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Family Sharing","Action,Indie",0.425815,https://cdn.akamai.steamstatic.com/steam/apps/366970/header.jpg?t=1573151817
291,39120,"windows,mac","Multi-player,MMO,PvP,Online PvP,Co-op,Online Co-op,Steam Trading Cards,In-App Purchases","Action,Adventure,Massively Multiplayer,RPG,Free to Play",0.425701,https://cdn.akamai.steamstatic.com/steam/apps/39120/header.jpg?t=1700242293
1213,327500,"windows,mac","Single-player,Co-op,Steam Achievements,Partial Controller Support,Family Sharing","Action,Indie",0.425676,https://cdn.akamai.steamstatic.com/steam/apps/327500/header.jpg?t=1575386327
1469,429530,"windows,mac","Single-player,Multi-player,Steam Trading Cards,Family Sharing",Simulation,0.425676,https://cdn.akamai.steamstatic.com/steam/apps/429530/header.jpg?t=1683592398
1235,334140,"windows,mac","Single-player,Multi-player,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Stats,Steam Leaderboards,Remote Play Together,Family Sharing","Action,Casual,Indie",0.425676,https://cdn.akamai.steamstatic.com/steam/apps/334140/header.jpg?t=1665827718
465,108710,"windows,mac","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV,Family Sharing","Action,Adventure",0.424239,https://cdn.akamai.steamstatic.com/steam/apps/108710/header.jpg?t=1667485381
990,282140,"windows,mac","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Remote Play on TV,Remote Play Together,Family Sharing","Action,Adventure,Indie",0.424121,https://cdn.akamai.steamstatic.com/steam/apps/282140/header.jpg?t=1685698900
